name,value,value_lower,date_created,date_last_used,count
tags,"7 Марта, 8 Марта, Цветы, С цветами, Букет, Знакомство, Девушки, парни, Женщины, ","7 марта, 8 марта, цветы, с цветами, букет, знакомство, девушки, парни, женщины, ",1741341653,1772842940,2
tags,"История, Исторические события, Параграф, События, ","история, исторические события, параграф, события, ",1741637589,1772615867,2
tags,"ICQ, ностальгия, аська, статус, Олд, Олды, ","icq, ностальгия, аська, статус, олд, олды, ",1742315356,1774878401,2
tags,"Жестокость, насилие, Религия, Вера, Компьютерные игры, Видеоигры, ","жестокость, насилие, религия, вера, компьютерные игры, видеоигры, ",1746831044,1784975939,2
tags,"БМВ, BMW, Поворотник, Поворотники, Владельцы БМВ, Владельцы BMW, ","бмв, bmw, поворотник, поворотники, владельцы бмв, владельцы bmw, ",1747159279,1776199443,2
tags,"Юрист, Юристы, Юридическое, Адвокат, Защитник, Адвокатское, Закон, Пленум верховного суда, Закон, Законы, Суд, В суде, На суде, Судебное, ","юрист, юристы, юридическое, адвокат, защитник, адвокатское, закон, пленум верховного суда, закон, законы, суд, в суде, на суде, судебное, ",1747185178,1772298213,2
tags,"за рулем, водители, водительское, Водитель, автошкола, ПДД, В автошколе, ","за рулем, водители, водительское, водитель, автошкола, пдд, в автошколе, ",1747192649,1772883998,2
tags,"Склероз, Забыл, Вспомнил, Воспоминания, Амнезия, Плохая память, Не помню, Забыл, ","склероз, забыл, вспомнил, воспоминания, амнезия, плохая память, не помню, забыл, ",1749193371,1774791216,2
tags,"Кризис среднего возраста, Возраст, иллюзии, мечты, душа, ","кризис среднего возраста, возраст, иллюзии, мечты, душа, ",1749231391,1785325411,2
tags,"Инициатива, Инициатор, Наказание, Инициатива наказуема, Проявление инициативы, Обязанности, Должностные обязанности, Новые обязанности, Молчание, Афоризм, Молчание золото, ","инициатива, инициатор, наказание, инициатива наказуема, проявление инициативы, обязанности, должностные обязанности, новые обязанности, молчание, афоризм, молчание золото, ",1749588364,1775589417,2
tags,"Мужские деньги, Мужской кошелек, Деньги, Женщины, Женское коварство, Женская меркантильность, Нет денег, Нищий, Бедный, Меркантильность, Если нет денег, Когда нет денег, Женская симпатия, Женское внимание, Отношения с женщинами, Нищеброд, Женский интерес, Коварная, ","мужские деньги, мужской кошелек, деньги, женщины, женское коварство, женская меркантильность, нет денег, нищий, бедный, меркантильность, если нет денег, когда нет денег, женская симпатия, женское внимание, отношения с женщинами, нищеброд, женский интерес, коварная, ",1749933021,1777360807,2
tags,"Джек Доусон, Титаник, Леонардо Ди Каприо, ИИ, Нейросети, Внешность, ","джек доусон, титаник, леонардо ди каприо, ии, нейросети, внешность, ",1749993383,1786403647,2
tags,"Диета, На диете, Лишний вес, Жир, Жирная, Толстая, Правильное питание, Диета, На диете, ","диета, на диете, лишний вес, жир, жирная, толстая, правильное питание, диета, на диете, ",1750714479,1776379463,2
tags,"JavaScript, Субтитры, Горбатая гора, Фильмы, Перевод, Изучение языков, Иностранные языки, Программирование, Языки программирования, java script, Java","javascript, субтитры, горбатая гора, фильмы, перевод, изучение языков, иностранные языки, программирование, языки программирования, java script, java",1750843839,1750843839,1
